[2026-03-22T06:21:42.756Z] GET http://localhost:3003/api/mock/stripe/transactions?business_id=biz-1774159749695 → pending (?ms, ?B)
[2026-03-22T06:28:58.317Z] GET http://localhost:3003/connect?_rsc=yu236 → pending (?ms, ?B)
[2026-03-22T06:28:58.265Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → pending (?ms, ?B)
[2026-03-22T06:29:04.840Z] GET http://localhost:3003/_next/static/webpack/2da4a9803440cef3.webpack.hot-update.json → 200 (55ms, 44B)
[2026-03-22T06:29:04.955Z] GET http://localhost:3003/_next/static/webpack/app/layout.2da4a9803440cef3.hot-update.js → pending (?ms, ?B)
[2026-03-22T06:29:04.955Z] GET http://localhost:3003/_next/static/webpack/webpack.2da4a9803440cef3.hot-update.js → pending (?ms, ?B)
[2026-03-22T06:29:04.846Z] GET http://localhost:3003/_next/static/webpack/2da4a9803440cef3.webpack.hot-update.json → 200 (48ms, 44B)
[2026-03-22T06:29:04.954Z] GET http://localhost:3003/_next/static/webpack/app/layout.2da4a9803440cef3.hot-update.js → pending (?ms, ?B)
[2026-03-22T06:29:04.954Z] GET http://localhost:3003/_next/static/webpack/webpack.2da4a9803440cef3.hot-update.js → pending (?ms, ?B)
[2026-03-22T06:29:25.175Z] GET http://localhost:3003/_next/static/webpack/bda00aec30578c3d.webpack.hot-update.json → 200 (56ms, 33843B)
[2026-03-22T06:29:25.248Z] GET http://localhost:3003/_next/static/webpack/app/layout.bda00aec30578c3d.hot-update.js → 200 (45ms, 1623B)
[2026-03-22T06:29:25.248Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.bda00aec30578c3d.hot-update.js → 200 (43ms, 1166B)
[2026-03-22T06:29:25.248Z] GET http://localhost:3003/_next/static/webpack/webpack.bda00aec30578c3d.hot-update.js → 200 (47ms, 858B)
[2026-03-22T06:29:25.174Z] GET http://localhost:3003/_next/static/webpack/bda00aec30578c3d.webpack.hot-update.json → 200 (57ms, 33843B)
[2026-03-22T06:29:25.243Z] GET http://localhost:3003/_next/static/webpack/app/layout.bda00aec30578c3d.hot-update.js → 200 (50ms, 1623B)
[2026-03-22T06:29:25.243Z] GET http://localhost:3003/_next/static/webpack/app/dashboard/page.bda00aec30578c3d.hot-update.js → 200 (54ms, 1166B)
[2026-03-22T06:29:25.243Z] GET http://localhost:3003/_next/static/webpack/app/connect/page.bda00aec30578c3d.hot-update.js → 200 (80ms, 1164B)
[2026-03-22T06:29:25.243Z] GET http://localhost:3003/_next/static/webpack/webpack.bda00aec30578c3d.hot-update.js → 200 (75ms, 858B)
[2026-03-22T06:29:25.687Z] GET http://localhost:3003/_next/static/webpack/33ca8cb90678a90e.webpack.hot-update.json → 200 (24ms, 31B)
[2026-03-22T06:29:25.711Z] GET http://localhost:3003/_next/static/webpack/webpack.33ca8cb90678a90e.hot-update.js → 200 (12ms, 858B)
[2026-03-22T06:29:25.687Z] GET http://localhost:3003/_next/static/webpack/33ca8cb90678a90e.webpack.hot-update.json → 200 (17ms, 31B)
[2026-03-22T06:29:25.721Z] GET http://localhost:3003/_next/static/webpack/webpack.33ca8cb90678a90e.hot-update.js → 200 (11ms, 858B)
[2026-03-22T06:29:26.415Z] GET http://localhost:3003/dashboard?b=biz-1774159749695&_rsc=syt8b → 500 (177ms, ?B)
[2026-03-22T06:29:26.596Z] GET http://localhost:3003/dashboard?b=biz-1774159749695 → pending (?ms, ?B)
[2026-03-22T06:29:26.414Z] GET http://localhost:3003/connect?_rsc=yu236 → 500 (148ms, ?B)
[2026-03-22T06:29:26.568Z] GET http://localhost:3003/connect → 500 (145ms, 8200B)
[2026-03-22T06:29:26.740Z] GET http://localhost:3003/_next/static/chunks/fallback/webpack.js → 200 (55ms, 47259B)
[2026-03-22T06:29:26.740Z] GET http://localhost:3003/_next/static/chunks/fallback/main.js → pending (?ms, ?B)
[2026-03-22T06:29:26.740Z] GET http://localhost:3003/_next/static/chunks/fallback/pages/_app.js → 200 (54ms, 3391B)
[2026-03-22T06:29:26.740Z] GET http://localhost:3003/_next/static/chunks/fallback/pages/_error.js → 200 (55ms, 3387B)
[2026-03-22T06:29:26.740Z] GET http://localhost:3003/_next/static/chunks/fallback/react-refresh.js → 200 (92ms, 78963B)
[2026-03-22T06:29:26.770Z] GET http://localhost:3003/_next/static/chunks/fallback/webpack.js → 200 (35ms, 47259B)
[2026-03-22T06:29:26.772Z] GET http://localhost:3003/_next/static/chunks/fallback/main.js → 200 (630ms, ?B)
[2026-03-22T06:29:26.772Z] GET http://localhost:3003/_next/static/chunks/fallback/pages/_app.js → 200 (33ms, 3391B)
[2026-03-22T06:29:26.772Z] GET http://localhost:3003/_next/static/chunks/fallback/pages/_error.js → 200 (42ms, 3387B)
[2026-03-22T06:29:26.772Z] GET http://localhost:3003/_next/static/chunks/fallback/react-refresh.js → 200 (90ms, 78963B)
[2026-03-22T06:29:27.654Z] GET http://localhost:3003/_next/static/development/_devMiddlewareManifest.json → pending (?ms, ?B)
[2026-03-22T06:29:27.653Z] GET http://localhost:3003/_next/static/development/_devMiddlewareManifest.json → 200 (482ms, 2B)
[2026-03-22T06:29:48.812Z] GET http://localhost:3003/connect → pending (?ms, ?B)
[2026-03-22T06:29:48.812Z] GET http://localhost:3003/dashboard?b=biz-1774159749695 → 500 (99ms, 8223B)
[2026-03-22T06:29:49.001Z] GET http://localhost:3003/_next/static/chunks/fallback/webpack.js → 200 (139ms, 47259B)
[2026-03-22T06:29:49.002Z] GET http://localhost:3003/_next/static/chunks/fallback/main.js → pending (?ms, ?B)
[2026-03-22T06:29:49.002Z] GET http://localhost:3003/_next/static/chunks/fallback/pages/_app.js → 200 (139ms, 3391B)
[2026-03-22T06:29:49.002Z] GET http://localhost:3003/_next/static/chunks/fallback/pages/_error.js → 200 (163ms, 3387B)
[2026-03-22T06:29:49.005Z] GET http://localhost:3003/_next/static/chunks/fallback/react-refresh.js → 200 (164ms, 78963B)
[2026-03-22T06:29:49.129Z] GET http://localhost:3003/_next/static/chunks/fallback/webpack.js → 200 (95ms, 47259B)
[2026-03-22T06:29:49.129Z] GET http://localhost:3003/_next/static/chunks/fallback/main.js → pending (?ms, ?B)
[2026-03-22T06:29:49.129Z] GET http://localhost:3003/_next/static/chunks/fallback/pages/_app.js → 200 (117ms, 3391B)
[2026-03-22T06:29:49.129Z] GET http://localhost:3003/_next/static/chunks/fallback/pages/_error.js → 200 (123ms, 3387B)
[2026-03-22T06:29:49.129Z] GET http://localhost:3003/_next/static/chunks/fallback/react-refresh.js → 200 (125ms, 78963B)
[2026-03-22T06:29:50.098Z] GET http://localhost:3003/_next/static/development/_devMiddlewareManifest.json → 200 (412ms, 2B)
[2026-03-22T06:29:50.168Z] GET http://localhost:3003/_next/static/development/_devMiddlewareManifest.json → 200 (6ms, 2B)
[2026-03-22T06:29:54.966Z] GET http://localhost:3003/connect → pending (?ms, ?B)
[2026-03-22T06:29:54.971Z] GET http://localhost:3003/dashboard?b=biz-1774159749695 → 500 (85ms, 8223B)
[2026-03-22T06:29:55.071Z] GET http://localhost:3003/_next/static/chunks/fallback/webpack.js → 200 (61ms, 47259B)
[2026-03-22T06:29:55.071Z] GET http://localhost:3003/_next/static/chunks/fallback/main.js → 200 (473ms, ?B)
